City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yuzhno-kurilsk,44.0306,145.8556,36.37,88,100,14.05,RU,1712464837
1,ushuaia,-54.8,-68.3,33.46,64,0,3.44,AR,1712464659
2,utrik,11.2278,169.8474,80.71,79,100,18.84,MH,1712464837
3,thompson,55.7435,-97.8558,30.36,80,40,2.3,CA,1712464838
4,geraldton,-28.7667,114.6,79.21,61,0,12.66,AU,1712464838
5,yellowknife,62.456,-114.3525,32.56,89,20,10.36,CA,1712464838
6,vila velha,-20.3297,-40.2925,75.94,84,75,4.0,BR,1712464835
7,bathsheba,13.2167,-59.5167,81.21,78,20,13.8,BB,1712464839
8,yershov,51.3513,48.2766,42.87,85,100,8.63,RU,1712464839
9,port-aux-francais,-49.35,70.2167,47.89,97,100,37.16,TF,1712464839
10,pimentel,-6.8367,-79.9342,71.89,78,0,14.97,PE,1712464839
11,punta arenas,-53.15,-70.9167,35.71,80,0,12.66,CL,1712464562
12,iskateley,67.6803,53.1512,21.02,94,100,15.01,RU,1712464840
13,bubaque,11.2833,-15.8333,76.75,66,15,9.73,GW,1712464840
14,port mathurin,-19.6833,63.4167,80.46,82,37,15.39,MU,1712464840
15,maintirano,-18.0667,44.0167,81.79,77,5,9.95,MG,1712464840
16,bredasdorp,-34.5322,20.0403,62.33,81,76,25.14,ZA,1712464840
17,ashland,40.8167,-82.2665,37.94,93,0,4.72,US,1712464754
18,wailua homesteads,22.0669,-159.378,79.23,82,75,25.32,US,1712464841
19,puerto natales,-51.7236,-72.4875,38.37,73,35,8.52,CL,1712464841
20,saint-louis,16.3333,-15.0,67.64,63,20,12.93,SN,1712464841
21,qusmuryn,52.4503,64.6311,45.05,81,100,10.67,KZ,1712464841
22,edinburgh of the seven seas,-37.0676,-12.3116,65.89,95,99,22.21,SH,1712464842
23,lihue,21.9789,-159.3672,79.84,77,75,25.32,US,1712464842
24,rib mountain,44.9128,-89.6754,40.69,62,0,6.91,US,1712464842
25,raufoss,60.7264,10.6172,33.73,100,100,0.78,NO,1712464842
26,hilo,19.7297,-155.09,73.13,83,75,9.22,US,1712464842
27,stephenville,32.2207,-98.2023,68.16,84,100,6.91,US,1712464843
